player,Zona,Equipo,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Fuera,%Bloqueado,%Parado,%Gol,%Palo
Abdul Rahman Baba,14,Mallorca,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Abdón Prats,7,Mallorca,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Abdón Prats,8,Mallorca,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Abdón Prats,13,Mallorca,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Abdón Prats,14,Mallorca,0,0,1,0,1,2,0.0,0.0,50.0,0.0,50.0
Abdón Prats,18,Mallorca,2,0,0,0,0,2,100.0,0.0,0.0,0.0,0.0
Adnan Januzaj,7,Real Sociedad,0,0,1,1,0,2,0.0,0.0,50.0,50.0,0.0
Adnan Januzaj,8,Real Sociedad,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Adnan Januzaj,9,Real Sociedad,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Adnan Januzaj,12,Real Sociedad,0,4,0,0,0,4,0.0,100.0,0.0,0.0,0.0
Adnan Januzaj,13,Real Sociedad,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Adnan Januzaj,14,Real Sociedad,0,1,1,1,0,3,0.0,33.33,33.33,33.33,0.0
Adnan Januzaj,17,Real Sociedad,3,0,1,0,0,4,75.0,0.0,25.0,0.0,0.0
Adnan Januzaj,18,Real Sociedad,1,0,0,1,0,2,50.0,0.0,0.0,50.0,0.0
Adrià Pedrosa,4,Espanyol,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Adrià Pedrosa,9,Espanyol,1,0,2,0,0,3,33.33,0.0,66.67,0.0,0.0
Adrià Pedrosa,12,Espanyol,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Adrià Pedrosa,13,Espanyol,2,0,1,1,0,4,50.0,0.0,25.0,25.0,0.0
Adrià Pedrosa,18,Espanyol,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Adrián,7,Osasuna,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Adrián,8,Osasuna,1,0,1,1,0,3,33.33,0.0,33.33,33.33,0.0
